"ID_muestra","N_Vaca","Muestreo","ED","DEL","Estado","Estado_n","NP","PL","CE","CCS","SCCS","Resultado","","","",""
"1546-1","1546","1","58","116","Gestante","1","3","16.4","6.9","518000","5.37","1","","","",""
"1600-9","1600","9","88","224","Inseminada","3","5","16.4","7.3","521000","5.38","1","","","",""
"798-8","798","8","66","295","Gestante","1","4","5.9","6.3","202000","4.01","1","","","",""
"1931-7","1931","7","86","68","Abierta","2","6","14.1","6.1","521000","5.38","1","","","",""
"241-10","241","10","81","352","Estéril","5","3","13.2","5.2","477000","5.25","1","","","",""
"784-4","784","4","70","162","Gestante","1","3","11.4","6.4","435000","5.12","1","","","",""
"240-9","240","9","92","136","Inseminada","3","5","15.1","6.7","432000","5.11","1","","","",""
"759-7","759","7","79","99","Inseminada","3","5","20.4","7.4","426000","5.09","1","","","",""
"1955-4","1955","4","89","260","Inseminada","3","4","4.7","6.1","443000","5.15","1","","","",""
"869-4","869","4","50","151","Inseminada","3","2","12.8","6.7","437000","5.13","1","","","",""
"791-3","791","3","69","298","Gestante","1","2","5.9","6.3","434000","5.12","1","","","",""
"953-9","953","9","35","230","Gestante","1","1","12.4","5.2","206000","4.04","1","","","",""
"759-1","759","1","77","56","Inseminada","3","5","21.3","7","206000","4.04","1","","","",""
"748-3","748","3","83","270","Gestante","1","4","11.8","7","423000","5.08","1","","","",""
"748-1","748","1","83","256","Gestante","1","4","13.5","7.1","419000","5.07","1","","","",""
"894-10","894","10","46","270","Gestante","1","2","14.8","7","427000","5.09","1","","","",""
"829-9","829","9","61","6","Abierta","2","4","16.4","7","423000","5.08","1","","","",""
"759-5","759","5","78","84","Inseminada","3","5","18","6.2","424000","5.08","1","","","",""
"742-11","742","11","88","311","Gestante","1","5","11.1","7.5","204000","4.03","1","","","",""
"904-10","904","10","44","46","Abierta","2","2","16.7","8.1","469000","5.23","1","","","",""
"931-8","931","8","38","4","Abierta","2","2","10.4","6.9","465000","5.22","1","","","",""
"869-5","869","5","50","158","Inseminada","3","2","14.2","7.3","472000","5.24","1","","","",""
"240-7","240","7","92","123","Inseminada","3","5","14.3","6.7","471000","5.24","1","","","",""
"846-10","846","10","58","312","Gestante","1","2","8.6","6.7","468000","5.23","1","","","",""
"1546-8","1546","8","60","165","Gestante","1","3","13.4","6.7","462000","5.21","1","","","",""
"846-9","846","9","58","304","Gestante","1","2","7.7","6.5","453000","5.18","1","","","",""
"1955-6","1955","6","90","274","Inseminada","3","4","4.2","4","449000","5.17","1","","","",""
"898-5","898","5","45","409","Gestante","1","1","10.4","6.4","450000","5.17","1","","","",""
"1931-9","1931","9","86","81","Abierta","2","6","15.8","7.4","461000","5.2","1","","","",""
"869-6","869","6","50","165","Inseminada","3","2","14.3","7.1","455000","5.19","1","","","",""
"877-10","877","10","50","173","No gestante","#N/A","2","14.1","7.3","206000","4.04","1","","","",""
"1056-5","1056","5","94","255","Inseminada","3","5","12.7","6.8","351000","4.81","1","","","",""
"78-6","78","6","76","323","Gestante","1","4","14.2","6.4","257000","4.36","1","","","",""
"784-11","784","11","72","212","Gestante","1","3","11.5","6.2","255000","4.35","1","","","",""
"216-7","216","7","92","203","Inseminada","3","4","16.3","7.5","255000","4.35","1","","","",""
